FamilyID,Survive Rate,FamilySize
3Caldwell,1,3
3Compton,1,3
3Coutts,1,3
3Dodge,1,3
3Drew,1,3
3Johnson,1,3
3McCoy,1,3
3Moubarek,1,3
3Nakid,1,3
3Peter,1,3
3Quick,1,3
3Sandstrom,1,3
3Spedden,1,3
3Touma,1,3
3Wells,1,3
3Wick,1,3
4Baclini,1,4
4Becker,1,4
4Carter,1,4
4Herman,1,4
5Ryerson,1,5
7Asplund,0.75,7
3Collyer,0.6666667,3
3Goldsmith,0.6666667,3
3Hart,0.6666667,3
3Navratil,0.6666667,3
3Taussig,0.6666667,3
3Thayer,0.6666667,3
4Laroche,0.6666667,4
4West,0.6666667,4
3Abbott,0.5,3
3Brown,0.5,3
3Crosby,0.5,3
3Davies,0.5,3
3Mallet,0.5,3
4Dean,0.5,4
6Fortune,0.5,6
small,0.3726027,"1,2"
4Allison,0.3333333,4
7Andersson,0.125,7
11Sage,0,11
3Boulos,0,3
3Bourke,0,3
3Danbom,0,3
3Elias,0,3
3Hickman,0,3
3Klasen,0,3
3Rosblom,0,3
3Samaan,0,3
3van Billiard,0,3
3Van Impe,0,3
3Widener,0,3
4Johnston,0,4
5Ford,0,5
5Lefebre,0,5
5Palsson,0,5
6Panula,0,6
6Rice,0,6
6Skoog,0,6
8Goodwin,0,8
